
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000182	0.023346	0.393311	628.0500627564661	0.520098	0.519310	0.5204320745753855	0.5196440883408376	0.45065125171726106	0.4498645952903929
0.000184	0.023727	0.392303	638.3044997564662	0.526454	0.525652	0.5267917457245656	0.5259897596412864	0.45701092286644107	0.45621026659084163
0.000185	0.023987	0.391357	645.2775167564662	0.532794	0.531984	0.5331335812991557	0.5323235952915107	0.4633527584410312	0.462544102241066
0.000186	0.024216	0.390411	651.4301787564661	0.539119	0.538301	0.5394604168737457	0.5386424309417351	0.4696795940156212	0.4688629378912904
0.000187	0.024506	0.389465	659.223550756466	0.545428	0.544601	0.5457712524483358	0.5449442665919595	0.4759904295902113	0.47516477354151476
0.000189	0.024841	0.388641	668.2474547564661	0.551724	0.550885	0.5520709235975158	0.5512319378924082	0.48229010073939127	0.4814524448419635
0.000190	0.025055	0.387756	673.9899397564661	0.558006	0.557159	0.5583547591721059	0.5575077735426326	0.4885739363139814	0.48772828049218786
0.000191	0.025330	0.386841	681.3731337564661	0.564273	0.563417	0.5646235947466959	0.563767609192857	0.4948427718885714	0.4939881161424122
0.000192	0.025681	0.385895	690.8072157564661	0.570524	0.569656	0.5708764303212859	0.5700084448430814	0.5010956074631614	0.5002289517926367
0.000194	0.025986	0.384735	699.0107647564662	0.576757	0.575879	0.5771131014704659	0.5762351161435302	0.5073322786123414	0.5064556230930854
0.000195	0.026138	0.383820	703.112539756466	0.582974	0.582091	0.5833319370450559	0.5824489517937546	0.5135511141869314	0.5126694587433098
0.000196	0.026459	0.382599	711.7262667564662	0.589173	0.588279	0.589532772619646	0.5886387874439789	0.5197519497615215	0.5188592943935342
0.000197	0.026855	0.381531	722.390880756466	0.595354	0.594447	0.5957156081942361	0.5948086230942032	0.5259347853361116	0.5250291300437585
0.000199	0.027084	0.380615	728.5435427564662	0.601520	0.600605	0.6018852793434162	0.6009702943946521	0.5321044564852917	0.5311908013442074
0.000200	0.027328	0.379730	735.106382756466	0.607671	0.606748	0.6080381149180061	0.6071151300448764	0.5382572920598816	0.5373356369944317
0.000201	0.027618	0.378601	742.8997547564661	0.613805	0.612872	0.6141739504925962	0.6132409656951008	0.5443931276344717	0.543461472644656
0.000202	0.027924	0.377563	751.1033037564662	0.619921	0.618978	0.6202917860671863	0.6193488013453252	0.5505109632090618	0.5495693082948805
0.000204	0.028168	0.376465	757.666143756466	0.626020	0.625069	0.6263944572163662	0.6254434726457739	0.5566136343582417	0.5556639795953292
0.000205	0.028458	0.375549	765.4595157564661	0.632103	0.631142	0.6324792927909563	0.6315183082959983	0.5626984699328318	0.5617388152455536
0.000206	0.028793	0.374359	774.4834197564662	0.638169	0.637196	0.6385471283655463	0.6375741439462227	0.5687663055074218	0.567794650895778
0.000207	0.029037	0.373322	781.0462587564662	0.644216	0.643235	0.6445959639401363	0.6436149795964471	0.5748151410820118	0.5738354865460024
0.000209	0.029388	0.372192	790.4803407564661	0.650246	0.649253	0.6506296350893164	0.6496366508968959	0.5808488122311919	0.5798571578464512
0.000210	0.029617	0.371002	796.6330027564661	0.656256	0.655256	0.6566414706639063	0.6556414865471203	0.5868606478057818	0.5858619934966756
0.000211	0.029938	0.369904	805.246729756466	0.662249	0.661237	0.6626363062384965	0.6616243221973447	0.592855483380372	0.5918448291469
0.000212	0.030258	0.368805	813.8604567564662	0.668223	0.667201	0.6686121418130865	0.6675901578475691	0.598831318954962	0.5978106647971244
0.000214	0.030548	0.367584	821.653828756466	0.674178	0.673146	0.6745708129622666	0.6735388291480179	0.6047899901041421	0.6037593360975732
